show_id,type,title,country,date_added,release_year,duration,listed_in,cast
1,TV Show,blood & water,South Africa,2021-09-24,2021,2,International,Ama Qamata
1,TV Show,blood & water,South Africa,2021-09-24,2021,2,International,Khosi Ngema
1,TV Show,blood & water,South Africa,2021-09-24,2021,2,International,Gail Mabalane
1,TV Show,blood & water,South Africa,2021-09-24,2021,2,International,Thabang Molaba
1,TV Show,blood & water,South Africa,2021-09-24,2021,2,International,Dillon Windvogel
1,TV Show,blood & water,South Africa,2021-09-24,2021,2,International,Natasha Thahane
1,TV Show,blood & water,South Africa,2021-09-24,2021,2,International,Arno Greeff
1,TV Show,blood & water,South Africa,2021-09-24,2021,2,International,Xolile Tshabalala
1,TV Show,blood & water,South Africa,2021-09-24,2021,2,International,Getmore Sithole
1,TV Show,blood & water,South Africa,2021-09-24,2021,2,International,Cindy Mahlangu
1,TV Show,blood & water,South Africa,2021-09-24,2021,2,International,Ryle De Morny
1,TV Show,blood & water,South Africa,2021-09-24,2021,2,International,Greteli Fincham
1,TV Show,blood & water,South Africa,2021-09-24,2021,2,International,Sello Maake Ka-Ncube
1,TV Show,blood & water,South Africa,2021-09-24,2021,2,International,Odwa Gwanya
1,TV Show,blood & water,South Africa,2021-09-24,2021,2,International,Mekaila Mathys
1,TV Show,blood & water,South Africa,2021-09-24,2021,2,International,Sandi Schultz
1,TV Show,blood & water,South Africa,2021-09-24,2021,2,International,Duane Williams
1,TV Show,blood & water,South Africa,2021-09-24,2021,2,International,Shamilla Miller
1,TV Show,blood & water,South Africa,2021-09-24,2021,2,International,Patrick Mofokeng
1,TV Show,blood & water,South Africa,2021-09-24,2021,2,Drama & Adventure,Ama Qamata
1,TV Show,blood & water,South Africa,2021-09-24,2021,2,Drama & Adventure,Khosi Ngema
1,TV Show,blood & water,South Africa,2021-09-24,2021,2,Drama & Adventure,Gail Mabalane
1,TV Show,blood & water,South Africa,2021-09-24,2021,2,Drama & Adventure,Thabang Molaba
1,TV Show,blood & water,South Africa,2021-09-24,2021,2,Drama & Adventure,Dillon Windvogel
1,TV Show,blood & water,South Africa,2021-09-24,2021,2,Drama & Adventure,Natasha Thahane
1,TV Show,blood & water,South Africa,2021-09-24,2021,2,Drama & Adventure,Arno Greeff
